30000,1,3768914,100,1264,200,153,66666.66666666667,530.6568417321276, -
100000,1,12588914,48,817,626,568,62600.0,497.26290925492066, +
# 300000,1,37988914,17,2145,1834,1721,61133.333333333336,482.7724214490575
# 1000000,1,126888914,5,6355,6031,5811,60310.0,475.29762923181767
30000,3,3828914,100,289,172,151,19111.11111111111,449.21353678876045, +
100000,3,12788914,50,931,595,561,19833.333333333332,465.2466972567022, +
# 300000,3,38588914,17,2053,1795,1720,19944.444444444445,465.15950150864575
# 1000000,3,128888914,5,6127,6061,5916,20203.333333333332,470.24990838234544
30000,10,4038914,100,350,172,156,5733.333333333333,425.8570496920707, +
100000,10,13488914,50,787,605,563,6050.0,448.51646322305857, +
# 300000,10,40688914,17,2051,1840,1762,6133.333333333333,452.21162698026296
# 1000000,10,135888914,6,6311,6013,5023,6013.0,442.49378576975016

30000,30,4638914,38,288273,159,149,1766.6666666666667,342.7526356384274, =
100000,30,15488914,32,2627,784,619,2613.3333333333335,506.16847636961506, -
# 300000,30,46688914,16,2246,1960,1873,2177.777777777778,419.79986940797124, -
30000,100,6738914,100,285,229,200,763.3333333333334,339.8173652312524, -
100000,100,22488914,38,1007,797,729,797.0,354.39683748179215, -
# 300000,100,67688914,13,3267,2416,2230,805.3333333333334,356.9269851190108
30000,300,12738914,86,606,335,293,372.22222222222223,262.9737511376558, -
100000,300,42488914,28,1217,1073,1035,357.6666666666667,252.53646162855563, -
# 300000,300,127688914,10,3623,3219,3189,357.6666666666667,252.0970614567213

1000,1000,1122914,100,34,21,18,210.0,187.01343112651548, +
30000,1000,33738914,46,720,654,634,218.0,193.8414496684748, +
# 100000,1000,112488914,14,2358,2206,2147,220.6,196.10821382807555
30,30000,903674,100,29,14,12,155.55555555555554,154.92312493222113, +
100,30000,3012214,100,66,46,42,153.33333333333334,152.71159353219923, +
300,30000,9036814,100,166,138,131,153.33333333333334,152.70868693324883, +
1000,30000,30122914,63,559,468,444,156.0,155.36345520888185, +
10,100000,1001234,100,23,15,13,150.0,149.81512813188525, +
30,100000,3003674,100,58,45,42,150.0,149.81652469608886, +
100,100000,10012214,100,195,155,144,155.0,154.81091394970184
300,100000,30036814,65,684,460,445,153.33333333333334,153.14540350384698, +
1000,100000,100122914,19,1937,1561,1519,156.1,155.9083667900437, +
3,300000,900387,100,20,14,12,155.55555555555554,155.48869541652644, +
10,300000,3001234,100,88,47,43,156.66666666666666,156.6022509407797, +
30,300000,9003674,100,197,138,129,153.33333333333334,153.27076480112453, +
100,300000,30012214,65,588,458,435,152.66666666666666,152.604536273132, +
300,300000,90036814,22,1543,1383,1350,153.66666666666666,153.6038358709583, +
1,1000000,1000145,100,28,15,13,150.0,149.97825315329277, +
3,1000000,3000387,100,57,45,41,150.0,149.98065249582802, +
10,1000000,10001234,100,200,151,145,151.0,150.98136889907786, +
30,1000000,30003674,65,535,458,441,152.66666666666666,152.64797237831607, +
100,1000000,100012214,20,1718,1540,1530,154.0,153.9811927371191, +
